Id,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,color
10259, Focus,2019,17991,Manual,6682,Petrol,145,48.7,1.0,yellow
10260, Focus,2018,16000,Manual,12898,Diesel,145,74.3,1.5,orange
10261, Focus,2018,19444,Automatic,8000,Diesel,145,64.2,2.0,blue
10262, S-MAX,2019,25991,Manual,8158,Diesel,145,54.3,2.0,green
10263, Ka+,2019,10795,Manual,4777,Petrol,145,43.5,1.2,black
10264, Focus,2019,20795,Automatic,7000,Diesel,145,64.2,2.0,orange
10265, Ka+,2019,9795,Manual,6500,Petrol,145,47.9,1.2,white
10266, Fiesta,2018,10491,Manual,14128,Petrol,145,55.4,1.1,yellow
10267, Fiesta,2018,10795,Manual,13597,Petrol,145,55.4,1.1,green
10268, Fiesta,2018,10795,Manual,10266,Petrol,145,55.4,1.1,gray
10269, Fiesta,2017,14295,Manual,15699,Petrol,145,47.9,1.6,white
10270, Kuga,2018,16789,Manual,26956,Petrol,145,45.6,1.5,orange
10271, Fiesta,2018,10679,Manual,9820,Petrol,150,58.9,1.0,blue
10272, Kuga,2018,16222,Manual,17036,Diesel,145,60.1,2.0,red
10273, B-MAX,2014,6995,Manual,17441,Diesel,20,68.9,1.5,green
10274, Kuga,2017,18491,Semi-Auto,24801,Diesel,145,54.3,2.0,green
10275, EcoSport,2017,11500,Manual,10126,Petrol,145,52.3,1.0,orange
10276, Kuga,2017,17595,Semi-Auto,18066,Diesel,145,54.3,2.0,silver
10277, Fiesta,2018,13491,Semi-Auto,3531,Petrol,145,48.7,1.0,orange
10278, Fiesta,2018,13991,Manual,13456,Petrol,145,62.8,1.0,white
10279, Ka+,2018,8888,Manual,25000,Petrol,145,47.9,1.2,black
10280, Fiesta,2017,14295,Manual,15699,Petrol,145,47.9,1.6,blue
10281, Fiesta,2014,8295,Manual,50496,Petrol,145,47.9,1.6,gray
10282, Mondeo,2016,11491,Manual,47224,Diesel,0,74.3,1.5,green
10283, Focus,2016,9270,Manual,16327,Diesel,0,83.1,1.5,green
10284, Fiesta,2013,6820,Manual,38641,Petrol,0,65.7,1.0,white
10285, Focus,2013,6370,Manual,50223,Petrol,30,56.5,1.0,blue
10286, Galaxy,2016,16170,Manual,45973,Diesel,125,56.5,2.0,green
10287, Mondeo,2016,10130,Manual,55413,Diesel,30,64.2,2.0,black
10288, Focus,2018,13441,Manual,16117,Diesel,150,74.3,1.5,orange
10289, Focus,2015,7141,Manual,67680,Diesel,20,67.3,1.6,orange
10290, Focus,2015,7660,Manual,45878,Diesel,0,74.3,1.5,green
10291, Fiesta,2015,7641,Manual,22480,Petrol,0,65.7,1.0,green
10292, Kuga,2016,12490,Manual,39621,Diesel,145,52.3,2.0,black
10293, Fiesta,2017,10750,Automatic,11108,Petrol,0,57.7,1.0,silver
10294, EcoSport,2017,10240,Manual,32399,Petrol,125,52.3,1.0,green
10295, Fiesta,2017,8150,Manual,15987,Petrol,145,54.3,1.2,white
10296, Fiesta,2017,10160,Manual,8525,Petrol,0,65.7,1.0,green
10297, Focus,2017,18900,Manual,12811,Petrol,200,41.5,2.0,gray
10298, Galaxy,2016,15780,Manual,53164,Diesel,125,56.5,2.0,gray
10299, C-MAX,2018,13090,Automatic,7740,Diesel,145,56.5,1.5,silver
10300, B-MAX,2014,6350,Manual,43550,Diesel,20,68.9,1.5,silver
10301, Fiesta,2017,9350,Manual,38720,Petrol,20,62.8,1.0,orange
10302, Fiesta,2016,10940,Semi-Auto,8833,Petrol,0,57.7,1.0,green
10303, EcoSport,2019,17590,Semi-Auto,1576,Petrol,145,45.6,1.0,silver
10304, Focus,2018,17997,Manual,15336,Petrol,145,41.5,2.0,orange
10305, Fiesta,2017,7490,Manual,53786,Petrol,0,65.7,1.0,green
10306, EcoSport,2017,9200,Manual,17166,Petrol,125,52.3,1.0,gray
10307, Kuga,2017,16507,Manual,21184,Diesel,145,54.3,2.0,black
10308, Fiesta,2017,11350,Manual,3833,Petrol,150,65.7,1.0,yellow
10309, Kuga,2017,16991,Semi-Auto,16643,Diesel,150,54.3,2.0,blue
10310, Focus,2019,18140,Manual,4577,Diesel,145,61.4,1.5,yellow
10311, Kuga,2019,21300,Semi-Auto,18333,Diesel,145,42.2,2.0,silver
10312, Kuga,2019,21970,Manual,9455,Diesel,145,47.9,2.0,gray
10313, Focus,2019,14491,Manual,7588,Petrol,145,60.1,1.0,green
10314, Focus,2019,15260,Manual,11301,Petrol,145,60.1,1.0,red
10315, Focus,2019,15440,Manual,10613,Petrol,145,60.1,1.0,black
10316, Focus,2019,14730,Manual,3803,Petrol,145,58.9,1.0,silver
10317, Focus,2019,18910,Manual,11167,Petrol,145,58.9,1.0,black
10318, Focus,2019,13491,Manual,3915,Petrol,145,60.1,1.0,green
10319, Focus,2019,15420,Manual,5447,Petrol,145,60.1,1.0,yellow
10320, Focus,2019,15860,Manual,4265,Petrol,145,60.1,1.0,red
10321, Fiesta,2013,5840,Manual,60088,Petrol,0,65.7,1.0,red
10322, Fiesta,2017,10100,Manual,15233,Petrol,145,65.7,1.0,red
10323, Kuga,2019,17991,Manual,151,Diesel,145,38.2,2.0,black
10324, C-MAX,2017,10060,Manual,21295,Petrol,160,44.1,1.6,green
10325, Fiesta,2017,9360,Manual,28789,Petrol,20,62.8,1.0,black
10326, Focus,2017,10750,Manual,6245,Petrol,20,60.1,1.0,silver
10327, Fiesta,2018,10700,Manual,14126,Petrol,145,65.7,1.0,red
10328, Ka+,2018,7680,Manual,21819,Petrol,145,57.7,1.2,green
10329, EcoSport,2018,14320,Manual,11912,Petrol,145,54.3,1.0,red
10330, Fiesta,2017,11740,Semi-Auto,20109,Petrol,145,54.3,1.0,red
10331, Fiesta,2019,12430,Manual,6555,Petrol,145,58.9,1.0,yellow
10332, Focus,2019,15320,Manual,9369,Petrol,145,60.1,1.0,yellow
10333, Focus,2016,8760,Manual,38113,Petrol,20,61.4,1.0,silver
10334, Fiesta,2017,8020,Manual,44617,Petrol,0,65.7,1.0,black
10335, Fiesta,2015,8560,Manual,14293,Petrol,0,65.7,1.0,white
10336, Focus,2017,18520,Manual,17327,Petrol,145,41.5,2.0,gray
10337, Focus,2019,29350,Manual,1617,Petrol,145,34.5,2.3,red
10338, Focus,2018,20370,Manual,13008,Petrol,145,41.5,2.0,gray
10339, Focus,2017,19910,Manual,17434,Petrol,145,41.5,2.0,black
10340, Fiesta,2017,10920,Manual,19153,Petrol,0,65.7,1.0,orange
10341, Ka+,2019,11000,Manual,2000,Petrol,145,47.9,1.2,blue
10342, Fiesta,2017,8400,Manual,24216,Petrol,0,65.7,1.0,blue
10343, Ka+,2019,10550,Manual,2463,Petrol,145,47.9,1.2,red
10344, Ka+,2018,7295,Manual,26792,Petrol,145,57.7,1.2,red
10345, Focus,2019,17480,Manual,3314,Petrol,145,60.1,1.0,orange
10346, Fiesta,2019,13140,Manual,2818,Petrol,145,48.7,1.1,silver
10347, Focus,2019,20380,Manual,6235,Diesel,145,70.6,2.0,green
10348, Ka+,2017,8310,Manual,4807,Petrol,145,57.7,1.2,black
10349, EcoSport,2019,17990,Manual,2978,Petrol,145,53.3,1.0,gray
10350, Focus,2019,17491,Automatic,9389,Petrol,145,50.4,1.0,black
10351, Focus,2017,11560,Manual,17530,Petrol,145,60.1,1.0,silver
10352, Fiesta,2017,9300,Manual,10958,Petrol,0,65.7,1.0,orange
10353, Focus,2019,16230,Automatic,16424,Diesel,145,67.3,1.5,green
10354, Fiesta,2019,13120,Manual,5166,Petrol,145,58.9,1.0,black
10355, Ka+,2019,10550,Manual,2000,Petrol,145,47.9,1.2,white
10356, S-MAX,2016,16660,Semi-Auto,18366,Diesel,125,56.5,2.0,blue
10357, Fiesta,2020,15491,Manual,251,Petrol,145,51.4,1.0,red
10358, Focus,2020,15600,Manual,557,Petrol,145,60.1,1.0,gray
10359, Ka+,2017,7170,Manual,23458,Petrol,30,57.7,1.2,green
10360, C-MAX,2016,12383,Manual,19029,Petrol,30,55.4,1.0,white
10361, Fiesta,2018,10699,Manual,30704,Petrol,145,65.7,1.0,white
10362, Fiesta,2018,10699,Manual,28654,Petrol,145,65.7,1.0,silver
10363, Kuga,2015,11999,Manual,52645,Diesel,145,54.3,2.0,blue
10364, Fiesta,2018,10699,Manual,32895,Petrol,150,65.7,1.0,gray
10365, Edge,2017,19695,Semi-Auto,27697,Diesel,145,48.7,2.0,black
10366, EcoSport,2016,10300,Manual,19016,Petrol,125,52.3,1.0,blue
10367, Focus,2016,10300,Manual,14896,Diesel,0,74.3,1.5,red
10368, Fiesta,2018,10495,Manual,17125,Petrol,145,65.7,1.0,red
10369, EcoSport,2019,15700,Manual,1518,Petrol,145,53.3,1.0,blue
10370, Fiesta,2018,13500,Manual,3871,Petrol,145,58.9,1.0,black
10371, Fiesta,2017,11470,Manual,15600,Petrol,145,65.7,1.0,red
10372, Fiesta,2018,11931,Manual,11696,Petrol,145,62.8,1.0,gray
10373, Fiesta,2019,12790,Manual,10148,Petrol,145,58.9,1.0,green
10374, Mustang,2018,28615,Manual,17876,Petrol,145,20.9,5.0,black
10375, Fiesta,2016,6495,Manual,47800,Petrol,0,65.7,1.0,orange
10376, Ka+,2017,6990,Manual,17729,Petrol,30,57.7,1.2,red
10377, Ka+,2016,5790,Manual,54269,Petrol,30,57.7,1.2,black
10378, Focus,2016,7730,Manual,55923,Diesel,0,74.3,1.5,yellow
10379, Fiesta,2016,7691,Manual,49030,Diesel,0,88.3,1.5,black
10380, Fiesta,2013,6340,Manual,21797,Petrol,30,54.3,1.2,gray
10381, Ka+,2018,9600,Manual,9844,Petrol,145,43.5,1.2,silver
10382, B-MAX,2017,9300,Manual,19365,Petrol,145,55.4,1.0,orange
10383, Fiesta,2018,10300,Manual,17150,Petrol,145,65.7,1.0,black
10384, Fiesta,2020,17300,Manual,6000,Petrol,145,55.4,1.0,silver
10385, Fiesta,2018,10300,Manual,21452,Petrol,145,65.7,1.0,silver
10386, Fiesta,2018,13800,Semi-Auto,2456,Petrol,145,48.7,1.0,black
10387, EcoSport,2019,16800,Automatic,3696,Petrol,145,45.6,1.0,green
10388, EcoSport,2017,9900,Manual,17236,Petrol,125,53.3,1.0,red
10389, Focus,2017,9700,Manual,42956,Petrol,20,60.1,1.0,black
10390, Kuga,2019,21200,Automatic,7858,Diesel,145,38.7,2.0,blue
10391, EcoSport,2017,10960,Manual,16737,Petrol,160,44.8,1.5,orange
10392, Focus,2016,9160,Manual,31410,Diesel,0,74.3,1.5,black
10393, Fiesta,2019,13140,Manual,4344,Petrol,145,48.7,1.1,gray
10394, Focus,2015,7000,Manual,54724,Diesel,0,74.3,1.5,white
10395, Fiesta,2018,13790,Automatic,9822,Petrol,145,54.3,1.0,black
10396, Fiesta,2016,10690,Automatic,13552,Petrol,30,57.7,1.0,black
10397, Fiesta,2019,14550,Manual,10071,Petrol,145,60.1,1.0,black
10398, Fiesta,2019,14080,Manual,11317,Petrol,145,60.1,1.0,white
10399, Fiesta,2019,14930,Manual,10586,Petrol,145,55.4,1.0,gray
10400, Focus,2018,13160,Manual,21235,Diesel,145,80.7,1.5,yellow
10401, EcoSport,2017,8250,Manual,43710,Petrol,150,44.8,1.5,green
10402, Kuga,2017,17995,Manual,13230,Diesel,145,54.3,2.0,gray
10403, Focus,2017,13595,Manual,50289,Petrol,205,41.5,2.0,blue
10404, Mondeo,2015,11221,Manual,35936,Diesel,30,64.2,2.0,silver
10405, Kuga,2017,13711,Manual,21827,Diesel,125,60.1,2.0,orange
10406, Fiesta,2017,10995,Semi-Auto,13451,Petrol,150,54.3,1.0,black
10407, Kuga,2018,20295,Automatic,2833,Petrol,145,38.2,1.5,orange
10408, B-MAX,2017,8895,Semi-Auto,18974,Petrol,165,44.1,1.6,black
10409, Kuga,2015,10790,Manual,33263,Diesel,125,60.1,2.0,green
10410, EcoSport,2018,13550,Manual,11250,Petrol,145,54.3,1.0,black
10411, Kuga,2019,22490,Semi-Auto,10598,Diesel,150,42.2,2.0,gray
10412, EcoSport,2019,17990,Semi-Auto,10,Petrol,150,44.1,1.0,orange
10413, Fiesta,2018,11290,Manual,11000,Petrol,150,60.1,1.0,green
10414, Fiesta,2019,15490,Manual,10100,Petrol,150,55.4,1.0,blue
10415, Fiesta,2018,10000,Manual,56100,Petrol,150,62.8,1.0,white
10416, Fiesta,2018,10990,Manual,21000,Petrol,150,65.7,1.0,yellow
10417, Fiesta,2019,12975,Manual,5500,Petrol,150,58.9,1.0,orange
10418, Fiesta,2018,9290,Manual,5755,Petrol,150,64.2,1.1,silver
10419, B-MAX,2017,8690,Semi-Auto,26363,Petrol,165,44.1,1.6,yellow
10420, Focus,2019,16200,Manual,12981,Petrol,150,49.6,1.0,green
10421, C-MAX,2017,10110,Manual,15342,Diesel,20,68.9,1.5,white
10422, C-MAX,2017,11830,Manual,5785,Petrol,145,55.4,1.0,silver
10423, C-MAX,2016,10000,Manual,10699,Diesel,20,68.9,1.5,white
10424, Kuga,2018,16198,Manual,24869,Diesel,145,64.2,1.5,white
10425, Focus,2017,18160,Manual,17583,Petrol,145,41.5,2.0,silver
10426, C-MAX,2016,10560,Manual,38922,Diesel,20,68.9,1.5,red
10427, Focus,2016,10670,Automatic,27977,Petrol,125,51.4,1.0,yellow
10428, Focus,2016,9710,Manual,14661,Petrol,20,61.4,1.0,silver
10429, C-MAX,2016,9427,Manual,35577,Diesel,20,68.9,1.5,black
10430, Fiesta,2017,10060,Manual,16282,Petrol,0,65.7,1.0,blue
10431, Kuga,2018,16817,Manual,6360,Petrol,145,39.2,1.5,yellow
10432, B-MAX,2016,7690,Manual,27519,Diesel,0,74.3,1.5,yellow
10433, Kuga,2018,20000,Manual,15822,Diesel,145,54.3,2.0,white
10434, Fiesta,2018,10450,Manual,17038,Petrol,145,65.7,1.0,blue
10435, Fiesta,2018,12590,Manual,16313,Petrol,145,58.9,1.0,silver
10436, Focus,2019,19236,Automatic,4896,Diesel,145,54.3,1.5,red
10437, Focus,2019,16990,Manual,7546,Petrol,145,47.9,1.0,blue
10438, S-MAX,2018,21750,Semi-Auto,18153,Diesel,145,52.3,2.0,gray
10439, Focus,2019,19490,Automatic,729,Diesel,145,53.3,1.5,blue
10440, Focus,2018,16990,Manual,19500,Petrol,145,58.9,1.0,yellow
10441, Kuga,2019,17990,Manual,11000,Petrol,145,35.3,1.5,black
10442, EcoSport,2018,14390,Semi-Auto,13952,Petrol,145,45.6,1.0,black
10443, Ka+,2019,12890,Manual,5,Petrol,145,43.5,1.2,red
10444, Galaxy,2019,22990,Semi-Auto,4960,Diesel,145,53.3,2.0,white
10445, Focus,2015,7650,Manual,51205,Diesel,20,67.3,1.6,red
10446, Fiesta,2017,10490,Manual,9000,Petrol,145,65.7,1.0,gray
10447, Edge,2018,25990,Semi-Auto,9600,Diesel,145,47.9,2.0,green
10448, Fiesta,2017,9280,Manual,28000,Petrol,145,62.8,1.0,black
10449, Kuga,2018,17950,Manual,19500,Diesel,145,47.9,2.0,black
10450, Fiesta,2018,11490,Manual,13000,Petrol,145,60.1,1.0,green
10451, S-MAX,2016,16630,Manual,23905,Diesel,125,56.5,2.0,silver
10452, Focus,2019,27580,Manual,7069,Petrol,145,34.5,2.3,yellow
10453, Fiesta,2017,7991,Manual,21790,Petrol,0,65.7,1.0,orange
10454, C-MAX,2017,11290,Manual,19089,Diesel,20,68.9,1.5,white
10455, Fiesta,2017,11211,Manual,10307,Petrol,0,65.7,1.0,red
10456, Focus,2018,13510,Automatic,13409,Petrol,145,51.4,1.0,gray
10457, Kuga,2017,16110,Manual,29145,Diesel,145,54.3,2.0,red
10458, Grand C-MAX,2017,11990,Manual,10594,Petrol,145,54.3,1.0,white
10459, Fiesta,2018,9891,Manual,31639,Petrol,145,65.7,1.0,blue
10460, Fiesta,2018,10290,Manual,29196,Petrol,145,56.5,1.0,orange
10461, Focus,2017,10770,Manual,22176,Petrol,20,60.1,1.0,gray
10462, Fiesta,2019,13210,Manual,11078,Petrol,145,55.4,1.0,black
10463, EcoSport,2018,14560,Manual,1090,Petrol,145,54.3,1.0,gray
10464, Kuga,2017,14130,Manual,14716,Diesel,125,60.1,2.0,gray
10465, Grand C-MAX,2016,11160,Manual,30665,Petrol,30,54.3,1.0,orange
10466, Kuga,2017,14440,Semi-Auto,57481,Diesel,145,54.3,2.0,gray
10467, Kuga,2019,23760,Manual,7962,Diesel,145,37.7,2.0,gray
10468, Grand C-MAX,2018,13647,Manual,10652,Petrol,145,47.1,1.0,blue
10469, Kuga,2016,12740,Manual,36215,Diesel,125,60.1,2.0,silver
10470, EcoSport,2019,17990,Manual,1156,Petrol,145,45.6,1.0,red
10471, Focus,2017,10887,Manual,16342,Petrol,145,61.4,1.0,orange
10472, Fiesta,2017,12192,Manual,21210,Petrol,145,47.9,1.6,orange
10473, Focus,2015,8995,Manual,38001,Petrol,20,60.1,1.0,yellow
10474, B-MAX,2014,7599,Manual,32505,Petrol,30,57.7,1.0,silver
10475, Fiesta,2015,6499,Manual,37000,Petrol,0,65.7,1.0,white
10476, Fiesta,2017,8199,Manual,36611,Petrol,125,54.3,1.2,yellow
10477, Focus,2015,6399,Manual,84000,Diesel,0,74.3,1.5,silver
10478, Focus,2016,10499,Semi-Auto,19395,Petrol,125,51.4,1.0,white
10479, Ka+,2017,7479,Manual,34302,Petrol,145,57.7,1.2,yellow
10480, Focus,2018,19979,Semi-Auto,6465,Diesel,145,61.4,2.0,red
10481, Focus,2017,10979,Manual,35735,Petrol,125,51.4,1.5,green
10482, Kuga,2019,20479,Manual,4953,Petrol,145,35.3,1.5,blue
10483, Fiesta,2018,11479,Manual,12553,Petrol,145,65.7,1.0,silver
10484, Kuga,2019,18479,Manual,10766,Diesel,145,38.2,2.0,yellow
10485, S-MAX,2015,13979,Manual,53855,Diesel,125,56.5,2.0,gray
10486, Kuga,2015,9979,Manual,36066,Diesel,125,60.1,2.0,red
10487, Fiesta,2014,6812,Manual,25104,Petrol,30,54.3,1.2,gray
10488, Fiesta,2015,6125,Manual,55363,Petrol,30,54.3,1.2,red
10489, B-MAX,2017,10199,Manual,30358,Petrol,30,55.4,1.0,white
10490, Kuga,2017,14730,Manual,31427,Diesel,125,60.1,2.0,white
10491, Fiesta,2015,8795,Automatic,21140,Petrol,145,47.9,1.6,blue
10492, Fiesta,2013,6350,Manual,40791,Petrol,0,65.7,1.0,yellow
10493, Kuga,2014,9750,Manual,48509,Diesel,205,47.9,2.0,yellow
10494, Focus,2017,12295,Manual,14750,Petrol,145,60.1,1.0,black
10495, Kuga,2017,13995,Manual,34960,Diesel,125,60.1,2.0,white
10496, Fiesta,2018,9995,Manual,6500,Petrol,145,64.2,1.1,green
10497, Fiesta,2018,10999,Manual,8968,Petrol,145,55.4,1.1,silver
10498, C-MAX,2016,10491,Manual,24267,Diesel,20,68.9,1.5,orange
10499, Focus,2017,10689,Manual,26058,Diesel,145,74.3,1.5,blue
10500, Focus,2018,20991,Manual,6833,Petrol,145,41.5,2.0,black
10501, Fiesta,2015,8920,Manual,23068,Diesel,0,78.5,1.5,yellow
10502, Fiesta,2017,8830,Manual,40505,Diesel,0,78.5,1.5,green
10503, Fiesta,2016,7010,Manual,47312,Diesel,0,88.3,1.5,orange
10504, Focus,2016,10495,Manual,15000,Petrol,20,60.1,1.0,silver
10505, Focus,2017,12995,Manual,10300,Petrol,20,60.1,1.0,yellow
10506, Focus,2017,12995,Manual,10438,Petrol,20,60.1,1.0,silver
10507, Fiesta,2018,12495,Manual,17900,Petrol,145,56.5,1.0,blue
10508, Fiesta,2016,12295,Semi-Auto,19000,Petrol,0,57.7,1.0,white
10509, EcoSport,2019,18995,Semi-Auto,490,Petrol,145,44.1,1.0,white
10510, Focus,2013,6495,Manual,50500,Petrol,30,56.5,1.0,white
10511, Focus,2019,15370,Manual,7912,Petrol,145,60.1,1.0,white
10512, Focus,2019,16190,Manual,10737,Diesel,145,74.3,1.5,orange
10513, Fiesta,2019,13890,Automatic,5452,Petrol,145,48.7,1.0,green
10514, Focus,2019,14390,Manual,10889,Petrol,145,58.9,1.0,green
10515, Focus,2019,17030,Manual,8439,Petrol,145,51.4,1.5,green
10516, Focus,2019,14410,Manual,7100,Petrol,145,60.1,1.0,orange
10517, Kuga,2019,19610,Manual,9863,Diesel,145,47.9,2.0,red
10518, Fiesta,2017,10991,Manual,16022,Petrol,145,65.7,1.0,red
10519, Kuga,2017,13210,Manual,33412,Diesel,145,64.2,1.5,yellow
10520, Kuga,2018,16479,Manual,16349,Petrol,145,45.6,1.5,white
10521, Mondeo,2018,14979,Manual,25199,Petrol,145,48.7,1.5,blue
10522, Fiesta,2018,10979,Manual,12760,Petrol,145,65.7,1.0,red
10523, Fiesta,2017,9479,Manual,32095,Petrol,145,65.7,1.0,green
10524, Focus,2018,16479,Manual,2596,Petrol,145,60.1,1.0,orange
10525, Focus,2018,28975,Manual,14171,Petrol,145,36.7,2.3,white
10526, Grand C-MAX,2017,10979,Manual,36730,Petrol,30,54.3,1.0,yellow
10527, Mondeo,2016,12840,Manual,14333,Petrol,145,47.9,1.5,gray
10528, S-MAX,2017,15479,Manual,41391,Diesel,145,56.5,2.0,white
10529, Edge,2016,19979,Semi-Auto,21843,Diesel,160,48.7,2.0,black
10530, Focus,2019,16970,Manual,5802,Petrol,145,60.1,1.0,blue
10531, Focus,2018,16479,Manual,18332,Diesel,145,74.3,1.5,red
10532, S-MAX,2017,16779,Semi-Auto,44424,Diesel,125,52.3,2.0,yellow
10533, Fiesta,2018,9679,Manual,14044,Petrol,150,64.2,1.1,green
10534, Fiesta,2017,9479,Manual,43786,Petrol,0,65.7,1.0,white
10535, Fiesta,2018,9979,Manual,58373,Petrol,145,65.7,1.0,orange
10536, Fiesta,2014,5979,Manual,70071,Petrol,0,65.7,1.0,red
10537, Mondeo,2020,24979,Automatic,2213,Hybrid,135,47.9,2.0,silver
10538, Fiesta,2018,12479,Semi-Auto,18559,Petrol,145,48.7,1.0,black
10539, Fiesta,2016,10940,Automatic,14260,Petrol,0,57.7,1.0,yellow
10540, Focus,2013,6480,Manual,31101,Diesel,20,67.3,1.6,yellow
10541, Grand C-MAX,2016,9820,Manual,36489,Diesel,30,64.2,1.5,white
10542, Fiesta,2019,14441,Semi-Auto,7220,Petrol,145,48.7,1.0,gray
10543, Galaxy,2016,19170,Semi-Auto,3950,Diesel,145,52.3,2.0,silver
10544, Fiesta,2018,10510,Manual,12070,Petrol,145,65.7,1.0,white
10545, Fiesta,2016,9320,Manual,21186,Petrol,20,62.8,1.0,black
10546, Focus,2017,17387,Manual,22342,Petrol,145,41.5,2.0,orange
10547, Fiesta,2017,10490,Automatic,14254,Petrol,0,57.7,1.0,gray
10548, Grand C-MAX,2016,11690,Automatic,13325,Diesel,30,58.9,1.5,silver
10549, Focus,2018,12970,Manual,7994,Petrol,145,57.7,1.0,blue
10550, Kuga,2017,16979,Semi-Auto,16411,Diesel,145,54.3,2.0,green
10551, Fiesta,2018,10179,Manual,15950,Petrol,145,65.7,1.0,gray
10552, Fiesta,2017,9179,Manual,38807,Petrol,145,65.7,1.0,black
10553, Fiesta,2019,16479,Manual,11288,Diesel,145,58.9,1.5,orange
10554, S-MAX,2019,33979,Semi-Auto,4988,Diesel,145,43.5,2.0,red
10555, Puma,2020,19979,Manual,1440,Petrol,145,51.4,1.0,silver
10556, Fiesta,2018,10979,Manual,16430,Petrol,145,65.7,1.0,black
10557, Fiesta,2018,11000,Manual,16301,Petrol,145,56.5,1.0,gray
10558, Fiesta,2018,11000,Manual,22845,Petrol,145,56.5,1.0,green
10559, Fiesta,2018,10590,Manual,33770,Petrol,145,56.5,1.0,white
10560, Kuga,2017,17368,Semi-Auto,26861,Diesel,145,54.3,2.0,blue
10561, Edge,2017,20479,Manual,19726,Diesel,160,48.7,2.0,gray
10562, Focus,2017,11479,Manual,52639,Diesel,145,74.3,1.5,blue
10563, S-MAX,2019,22979,Manual,8199,Petrol,145,33.6,1.5,silver
10564, Focus,2020,28939,Manual,601,Petrol,145,34.5,2.3,white
10565, Fiesta,2014,6679,Manual,47368,Petrol,0,65.7,1.0,white
10566, Edge,2017,19303,Semi-Auto,43745,Diesel,200,47.9,2.0,yellow
10567, Fiesta,2013,5989,Manual,60143,Petrol,0,65.7,1.0,gray
10568, Fiesta,2016,9989,Manual,15590,Petrol,0,57.7,1.0,black
10569, Grand C-MAX,2015,9795,Semi-Auto,51250,Diesel,160,48.7,2.0,orange
10570, Focus,2015,6645,Manual,72000,Diesel,0,74.3,1.5,silver
10571, EcoSport,2016,8795,Manual,40600,Petrol,125,53.3,1.0,black
10572, Ka+,2017,7499,Manual,19616,Petrol,145,57.7,1.2,blue
10573, Focus,2014,7499,Semi-Auto,47329,Petrol,160,44.8,1.6,gray
10574, Focus,2016,12799,Manual,48537,Diesel,20,67.3,2.0,white
10575, C-MAX,2016,8499,Manual,30484,Diesel,20,68.9,1.5,green
10576, Kuga,2019,18479,Manual,15937,Petrol,145,35.3,1.5,green
10577, Fiesta,2016,9679,Manual,23608,Petrol,20,62.8,1.0,gray
10578, Focus,2018,13979,Manual,16808,Petrol,145,57.7,1.0,black
10579, Fiesta,2017,10050,Manual,14773,Petrol,0,65.7,1.0,silver
10580, Fiesta,2017,9930,Manual,21387,Petrol,145,65.7,1.0,orange
10581, Fiesta,2017,9150,Manual,32023,Petrol,145,65.7,1.0,blue
10582, Focus,2019,16030,Manual,9145,Diesel,145,74.3,1.5,gray
10583, Kuga,2018,17160,Manual,10267,Petrol,145,39.2,1.5,orange
10584, Fiesta,2016,8211,Manual,36332,Petrol,0,65.7,1.0,silver
10585, Focus,2017,18300,Manual,13813,Petrol,145,41.5,2.0,green
10586, S-MAX,2019,23179,Manual,12036,Petrol,145,33.6,1.5,orange
10587, EcoSport,2019,16479,Manual,4470,Diesel,145,58.9,1.5,red
10588, S-MAX,2019,24979,Manual,10026,Diesel,145,54.3,2.0,gray
10589, EcoSport,2017,11679,Manual,12278,Petrol,125,52.3,1.0,red
10590, Galaxy,2018,17979,Manual,34350,Diesel,145,56.5,2.0,black
10591, EcoSport,2018,14179,Semi-Auto,23807,Petrol,145,48.7,1.0,green
10592, Ka+,2017,7489,Manual,12082,Petrol,145,57.7,1.2,green
10593, EcoSport,2019,16995,Manual,3500,Petrol,145,53.3,1.0,orange
10594, Focus,2019,19995,Automatic,6000,Diesel,145,64.2,2.0,red
10595, Fiesta,2016,9995,Manual,30468,Petrol,0,65.7,1.0,blue
10596, Focus,2017,10495,Manual,27820,Petrol,20,61.4,1.0,yellow
10597, Fiesta,2018,11495,Manual,12700,Petrol,150,56.5,1.0,red
10598, Ka+,2019,11295,Manual,1850,Petrol,145,43.5,1.2,orange
10599, Fiesta,2017,10491,Manual,8679,Petrol,145,65.7,1.0,red
10600, Kuga,2017,16000,Automatic,21467,Petrol,145,38.2,1.5,black
10601, Edge,2017,15700,Manual,62124,Diesel,160,48.7,2.0,black
10602, Grand C-MAX,2017,11180,Manual,30519,Petrol,30,54.3,1.0,black
10603, Ka+,2017,7500,Manual,30668,Petrol,150,57.7,1.2,orange
10604, Fiesta,2017,10500,Manual,10147,Petrol,150,62.8,1.0,yellow
10605, Fiesta,2018,13300,Manual,5687,Petrol,150,62.8,1.0,white
10606, Fiesta,2018,12500,Manual,4583,Petrol,150,65.7,1.0,red
10607, Fiesta,2016,8000,Manual,18455,Petrol,125,54.3,1.2,blue
10608, Fiesta,2019,14000,Manual,10114,Petrol,145,58.9,1.0,red
10609, Fiesta,2017,9279,Manual,14576,Petrol,145,65.7,1.0,black
10610, Fiesta,2018,11679,Manual,16906,Petrol,145,65.7,1.0,gray
10611, Ka+,2019,9675,Manual,3850,Petrol,145,47.9,1.2,yellow
10612, Ka+,2019,9279,Manual,9266,Petrol,145,47.9,1.2,silver
